Title1,Title2
Annual Recreation Visitation by Park Type or Region for: 2015 By Region,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Recreation%20Visitation%20Report%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Grouphead1,ParkNameGroupTitle,ParkTotal1,GroupHeadx,GroupHeadData1,ReportTotal1
Northeast  Region,Frederick Law Olmsted NHS,"9,473",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Fredericksburg & Spotsylvania NMP,"891,917",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Friendship Hill NHS,"34,687",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Gateway NRA,"6,392,565",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Gauley River NRA,"105,374",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,General Grant NMEM,"95,526",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,George Washington Birthplace NM,"130,952",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Gettysburg NMP,"1,080,185",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Governors Island NM,"438,613",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Hamilton Grange NMEM,"35,446",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Hampton NHS,"34,685",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Home of Franklin D. Roosevelt NHS,"180,405",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Hopewell Furnace NHS,"51,252",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Independence NHP,"4,311,582",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,John F. Kennedy NHS,"18,485",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Johnstown Flood NMEM,"163,431",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Longfellow NHS,"50,784",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Lowell NHP,"531,055",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Maggie L. Walker NHS,"7,589",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Marsh-Billings-Rockefeller NHP,"35,003",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Martin Van Buren NHS,"18,547",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Minute Man NHP,"964,330",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Morristown NHP,"218,959",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,New Bedford Whaling NHP,"167,790",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,New River Gorge NR,"1,178,753",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Petersburg NB,"192,655",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Richmond NBP,"184,175",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Roger Williams NMEM,"60,505",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Sagamore Hill NHS,"42,326",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Saint Croix Island International Historic Site,"12,557",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Saint Paul's Church NHS,"17,180",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Saint-Gaudens NHS,"39,242",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Salem Maritime NHS,"264,780",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Saratoga NHP,"65,010",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Saugus Iron Works NHS,"9,327",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Shenandoah NP,"1,321,873",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Springfield Armory NHS,"21,825",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Statue of Liberty NM,"4,279,020",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Steamtown NHS,"89,592",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Thaddeus Kosciuszko NMEM,"1,261",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Theodore Roosevelt Birthplace NHS,"6,685",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Theodore Roosevelt Inaugural NHS,"24,896",Northeast  Region Total,"53,642,665","307,247,252"
Northeast  Region,Thomas Edison NHP,"56,317",Northeast  Region Total,"53,642,665","307,247,252"
