Park,may15 total,may16 total,month diff,ytd15 total,ytd16 total,ytd diff
Vicksburg NMP,59500,59500,0,205240,211348,6108
Vietnam Veterans MEM,1320939,1320939,0,2623200,2709217,86017
Virgin Islands NP,31162,31162,0,244351,216978,-27373
Voyageurs NP,28579,28579,0,45750,37266,-8484
Waco Mammoth National Monument,0,0,0,0,22071,22071
Walnut Canyon NM,14746,14746,0,54771,59626,4855
War in the Pacific NHP,37752,37752,0,130662,208359,77697
Washington Monument,38496,38496,0,174658,135271,-39387
Washita Battlefield NHS,1153,1153,0,4294,4600,306
Weir Farm NHS,7357,7357,0,13297,11968,-1329
Whiskeytown NRA,96411,96411,0,272573,276306,3733
White House,47351,47351,0,227885,277467,49582
White Sands NM,56427,56427,0,211422,231744,20322
Whitman Mission NHS,9391,9391,0,20957,18984,-1973
William Howard Taft NHS,2246,2246,0,8558,8898,340
Wilson's Creek NB,17612,17612,0,63960,67474,3514
Wind Cave NP,69312,69312,0,151909,156443,4534
Wolf Trap NP for the Performing Arts,42809,42809,0,51809,50453,-1356
Women's Rights NHP,2772,2772,0,5388,7137,1749
World War II Memorial,769568,769568,0,2116906,2099530,-17376
World War II Valor in the Pacific NM,122063,1624,-120439,615821,515615,-100206
Wrangell-St. Elias NP & PRES,6122,6122,0,6992,6992,0
Wright Brothers NMEM,52155,52155,0,114027,138539,24512
Wupatki NM,19708,19708,0,69567,75782,6215
Yellowstone NP,386064,386064,0,518087,535189,17102
Yosemite NP,408121,408121,0,1147750,1328607,180857
Yukon-Charley Rivers NPRES,36,36,0,297,65,-232
Zion NP,400048,400048,0,1268215,1337768,69553
total,31707370,30851604,-855766,100354109,102188786,1834677
