Region,ParkNameGroupTitle,ParkTotal,RegionNameTotal,RegionTotal,ReportTotal1
Pacific West  Region,City of Rocks NRES,105289,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Crater Lake NP,614712,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Craters of the Moon NM,246826,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Death Valley NP,1154843,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Devils Postpile NM,140313,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Eugene O'Neill NHS,3942,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Fort Point NHS,1610466,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Fort Vancouver NHS,818672,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Golden Gate NRA,14888537,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Great Basin NP,116123,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Hagerman Fossil Beds NM,24695,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Haleakala NP,1216772,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Hawaii Volcanoes NP,1832660,Pacific West  Region Total,61026749,307247252
Pacific West  Region,John Day Fossil Beds NM,196277,Pacific West  Region Total,61026749,307247252
Pacific West  Region,John Muir NHS,42615,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Joshua Tree NP,2025756,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Kalaupapa NHP,67891,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Kaloko Honokohau NHP,170683,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Kings Canyon NP,468106,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Klondike Gold Rush NHP Seattle,60372,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Lake Chelan NRA,32186,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Lake Mead NRA,7298465,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Lake Roosevelt NRA,1170843,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Lassen Volcanic NP,468092,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Lava Beds NM,108687,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Lewis & Clark NHP,270410,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Manzanar NHS,95327,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Mojave NPRES,589155,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Mount Rainier NP,1237231,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Muir Woods NM,1099923,Pacific West  Region Total,61026749,307247252
Pacific West  Region,National Park of American Samoa,13892,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Nez Perce NHP,224967,Pacific West  Region Total,61026749,307247252
Pacific West  Region,North Cascades NP,20677,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Olympic NP,3263761,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Oregon Caves NM,72709,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Pinnacles NP,206533,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Point Reyes NS,2501106,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Port Chicago Naval Magazine NM,963,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Pu'uhonua o Honaunau NHP,437286,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Pu'ukohola Heiau NHS,139586,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Redwood NP,527143,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Rosie The Riveter WWII Home Front,56362,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Ross Lake NRA,772579,Pacific West  Region Total,61026749,307247252
Pacific West  Region,San Francisco Maritime NHP,4173014,Pacific West  Region Total,61026749,307247252
Pacific West  Region,San Juan Island NHP,258668,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Santa Monica Mountains NRA,797126,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Sequoia NP,1097464,Pacific West  Region Total,61026749,307247252
Pacific West  Region,War in the Pacific NHP,322463,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Whiskeytown NRA,843845,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Whitman Mission NHS,39525,Pacific West  Region Total,61026749,307247252
Pacific West  Region,World War II Valor in the Pacific NM,1574156,Pacific West  Region Total,61026749,307247252
Pacific West  Region,Yosemite NP,4150217,Pacific West  Region Total,61026749,307247252
Southeast  Region,Abraham Lincoln Birthplace NHP,148605,Southeast  Region Total,63631541,307247252
Southeast  Region,Andersonville NHS,136686,Southeast  Region Total,63631541,307247252
